"id","Parameter","avg"
"2_0_woz","b2",0.00921265363577526
"2_0_wz","b2",0.00718721533533882
"2_0_wz","z",0.022
"2_0.1_woz","b2",0.136185236283076
"2_0.1_wz","b2",0.130150673719309
"2_0.1_wz","z",1
"2_0.2_woz","b2",0.252108740842091
"2_0.2_wz","b2",0.250796456897466
"2_0.2_wz","z",1
"3_0_woz","b2",0.0118487430856634
"3_0_wz","b2",0.00624078410846972
"3_0_wz","z",0.672
"3_0.1_woz","b2",0.143369601540837
"3_0.1_wz","b2",0.140118905804333
"3_0.1_wz","z",1
"3_0.2_woz","b2",0.262567010077242
"3_0.2_wz","b2",0.2694204021294
"3_0.2_wz","z",1
"2_0_wz","cond. exp",0.00616751683744397
"2_0.1_wz","cond. exp",0.130150673719309
"2_0.2_wz","cond. exp",0.250796456897466
"3_0_wz","cond. exp",0.00838127076034056
"3_0.1_wz","cond. exp",0.140118905804333
"3_0.2_wz","cond. exp",0.2694204021294
